labID,"	age","	error","	depth",Method,Calibration curve,dR,dSTD
surface,-59,"	1","	0",210Pb,None,,
45414,2445,26,6,14C,IntCal13,2282,63
Tibito,289,10,7,Indep. Dated,None,,
D-AMS 007365,2482,26,8,14C,IntCal13,2282,63
45413,2549,23,9,14C,IntCal13,2282,63
D-AMS 007366,2556,29,19,14C,IntCal13,2040,77
45416,3120,23,30,14C,IntCal13,2040,77
Olgaboli,1080,100,31,Indep. Dated,None,,
45412,3284,23,32,14C,IntCal13,2040,77
D-AMS 007368,3926,29,45,14C,IntCal13,2040,77
D-AMS 007369,5026,27,59,14C,IntCal13,2040,77
OZN146,5885,40,75,14C,IntCal13,2040,77
